omega,forcing_frequency,amplitude,output,forcing_direction,order_class,n_components_tested,n_significant_components,min_p_value,min_p_value_adjusted,min_p_value_family_adjusted,best_response_group,best_harmonic,best_component,best_sample_mean,best_ci_low,best_ci_high,any_significant,significance_alpha
32.95911120851088,5.245605468749999,0.08,0,2,higher_odd,6,0,0.9805508488010162,1.0,1.0,odd,3,cos,3.1704014492676694e-06,-0.00025568414754135977,0.00026202495043989516,False,0.05
41.23033561679026,6.56201171875,0.005,0,2,higher_odd,6,0,0.6808369945046602,1.0,1.0,odd,3,cos,5.0623294141945094e-05,-0.0001941826020296156,0.0002954291903135058,False,0.05
41.23033561679026,6.56201171875,0.01,0,2,higher_odd,6,0,0.2294664816933147,1.0,1.0,odd,3,cos,-0.00016752746701994897,-0.00044340326440303265,0.00010834833036313472,False,0.05
41.23033561679026,6.56201171875,0.02,0,2,higher_odd,6,0,0.3286244666351854,0.3286244666351854,1.0,odd,3,cos,-0.00012306419869503245,-0.0003728543867220159,0.00012672598933195103,False,0.05
41.23033561679026,6.56201171875,0.04,0,2,higher_odd,6,0,0.8601885815543147,1.0,1.0,odd,3,cos,2.290884436954123e-05,-0.0002359434774113641,0.00028176116615044654,False,0.05
41.23033561679026,6.56201171875,0.08,0,2,higher_odd,6,0,0.7457643750505829,1.0,1.0,odd,3,cos,-3.991902285209076e-05,-0.00028487684444515105,0.00020503879874096955,False,0.05
49.53530760240312,7.8837890625,0.005,0,2,higher_odd,6,0,0.39004390682364753,1.0,1.0,odd,3,cos,-0.00010926475459560681,-0.00036154217794538376,0.00014301266875417016,False,0.05
49.53530760240312,7.8837890625,0.01,0,2,higher_odd,6,0,0.11547109646653224,0.5556874984671261,1.0,odd,3,cos,0.00020444948131773558,-5.152431902439856e-05,0.00046042328165986975,False,0.05
49.53530760240312,7.8837890625,0.02,0,2,higher_odd,6,0,0.2572141437994885,0.8466483115834216,1.0,odd,3,cos,-0.00014349295137362387,-0.0003942862919693627,0.00010730038922211494,False,0.05
49.53530760240312,7.8837890625,0.04,0,2,higher_odd,6,0,0.6553117322016525,1.0,1.0,odd,3,cos,-5.234940112200662e-05,-0.0002855837488549832,0.00018088494661096997,False,0.05
49.53530760240312,7.8837890625,0.08,0,2,higher_odd,6,0,0.3852376196143028,1.0,1.0,odd,3,cos,0.00013198697730184924,-0.0001696642534500041,0.0004336382080537026,False,0.05
57.8280077417129,9.20361328125,0.005,0,2,higher_odd,6,0,0.18549845330641662,0.8843333112986858,1.0,odd,3,cos,-0.0001745464693241074,-0.00043511174054830477,8.601880190008999e-05,False,0.05
57.8280077417129,9.20361328125,0.01,0,2,higher_odd,6,0,0.9558263472259095,1.0,1.0,odd,3,cos,-7.075073626386267e-06,-0.0002613049161325423,0.0002471547688797697,False,0.05
57.8280077417129,9.20361328125,0.02,0,2,higher_odd,6,0,0.6915163869200487,1.0,1.0,odd,3,cos,5.3831251251244e-05,-0.0002160283806701048,0.0003236908831725928,False,0.05
57.8280077417129,9.20361328125,0.04,0,2,higher_odd,6,0,0.18453786967525435,0.5511675513139892,1.0,odd,3,cos,0.000165196063471868,-8.086462827569014e-05,0.00041125675521942615,False,0.05
57.8280077417129,9.20361328125,0.08,0,2,higher_odd,6,0,0.5190551118877625,1.0,1.0,odd,3,cos,-8.323601975458154e-05,-0.0003397488084306583,0.00017327676892149525,False,0.05
66.1176399194469,10.52294921875,0.005,0,2,higher_odd,6,0,0.697426500464364,1.0,1.0,odd,3,cos,5.063169150310494e-05,-0.00020841836632127402,0.00030968174932748387,False,0.05
66.1176399194469,10.52294921875,0.01,0,2,higher_odd,6,0,0.41078588861747056,1.0,1.0,odd,3,cos,0.0001045398041281135,-0.00014775670051244262,0.0003568363087686696,False,0.05
66.1176399194469,10.52294921875,0.02,0,2,higher_odd,6,0,0.11677734396914602,0.5526839935832091,1.0,odd,3,cos,0.00018330978818330632,-4.703639170291552e-05,0.00041365596806952815,False,0.05
66.1176399194469,10.52294921875,0.04,0,2,higher_odd,6,0,0.18465710294821705,0.8674607055026156,1.0,odd,3,cos,-0.0001545134999739161,-0.00038472583472914414,7.569883478131194e-05,False,0.05
66.1176399194469,10.52294921875,0.08,0,2,higher_odd,6,0,0.8907912477498305,1.0,1.0,odd,3,cos,-1.923637557035262e-05,-0.00029807728502004755,0.00025960453387934235,False,0.05
8.295768100885548,1.3203125,0.005,0,2,second_order,3,0,0.7928527094700043,1.0,1.0,even,0,dc,-0.03189837611122682,-0.2736041938645829,0.20980744164212928,False,0.05
8.295768100885548,1.3203125,0.01,0,2,second_order,3,0,0.74967967726175,1.0,1.0,even,0,dc,-0.03714875871510392,-0.2688023822595174,0.1945048648293096,False,0.05
8.295768100885548,1.3203125,0.02,0,2,second_order,3,0,0.4096072232079867,1.0,1.0,even,0,dc,0.08897920959671116,-0.12522038823906184,0.30317880743248415,False,0.05
8.295768100885548,1.3203125,0.04,0,2,second_order,3,0,0.4245009091002818,1.0,1.0,even,0,dc,0.09281070883590165,-0.13791043512958737,0.32353185280139063,False,0.05
